support,itemsets,length
0.10710792305184219,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),1
0.023964786436256928,frozenset({'HAND WARMER UNION JACK'}),1
0.07472013911531356,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'}),1
0.03755026627540485,frozenset({'HOME BUILDING BLOCK WORD'}),1
0.03015976524290838,frozenset({'LOVE BUILDING BLOCK WORD'}),1
0.028855559178350178,frozenset({'DOORMAT NEW ENGLAND'}),1
0.021791109661993262,frozenset({'FELTCRAFT PRINCESS CHARLOTTE DOLL'}),1
0.04771220519508749,frozenset({'JAM MAKING SET WITH JARS'}),1
0.0476578632757309,frozenset({'ALARM CLOCK BAKELIKE RED '}),1
0.04287577437235083,frozenset({'ALARM CLOCK BAKELIKE GREEN'}),1
0.03825671122704054,frozenset({'SPACEBOY LUNCH BOX '}),1
0.0333115965655907,frozenset({'ALARM CLOCK BAKELIKE PINK'}),1
0.032333442017172045,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '}),1
0.028366481904140855,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'}),1
0.027388327355722206,frozenset({'LUNCH BOX I LOVE LONDON'}),1
0.026355830887946963,frozenset({'VINTAGE HEADS AND TAILS CARD GAME '}),1
0.05325508096945984,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",1
0.04760352135637431,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),1
0.04407129659819585,frozenset({'WOODEN FRAME ANTIQUE WHITE '}),1
0.027660036952505164,frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH'}),1
0.020269535920008696,frozenset({'WOOD S/3 CABINET ANT WHITE FINISH'}),1
0.036898163243125746,frozenset({'RED HANGING HEART T-LIGHT HOLDER'}),1
0.027931746549288122,frozenset({'HOT WATER BOTTLE TEA AND SYMPATHY'}),1
0.06999239213129008,frozenset({'LUNCH BAG RED RETROSPOT'}),1
0.055917835017932835,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),1
0.04733181175959135,frozenset({'JUMBO BAG PINK POLKADOT'}),1
0.042060645582001954,frozenset({'JUMBO STORAGE BAG SUKI'}),1
0.03635474404955983,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),1
0.03570264101728073,frozenset({'60 TEATIME FAIRY CAKE CASES'}),1
0.035267905662428,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'}),1
0.03271383545266819,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'}),1
0.028746875339636997,frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),1
0.026736224323443105,frozenset({'STRAWBERRY CHARLOTTE BAG'}),1
0.023149657645908053,frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),1
0.04716878600152157,frozenset({'JAM MAKING SET PRINTED'}),1
0.04472339963047495,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC '}),1
0.042930116291707426,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'}),1
0.035593957178567545,frozenset({'GIN + TONIC DIET METAL SIGN'}),1
0.03271383545266819,frozenset({'COOK WITH WINE METAL SIGN '}),1
0.024127812194326703,frozenset({'PAPER CHAIN KIT RETROSPOT'}),1
0.021573741984566894,frozenset({'DOORMAT FANCY FONT HOME SWEET HOME'}),1
0.020541245516791654,frozenset({'EDWARDIAN PARASOL NATURAL'}),1
0.02211716117813281,frozenset({'RECYCLING BAG RETROSPOT '}),1
0.05254863601782415,frozenset({'NATURAL SLATE HEART CHALKBOARD '}),1
0.0522225845016846,frozenset({'HEART OF WICKER SMALL'}),1
0.04352787740462993,frozenset({'HEART OF WICKER LARGE'}),1
0.03282251929138137,frozenset({'WOOD BLACK BOARD ANT WHITE FINISH'}),1
0.028746875339636997,frozenset({'COLOUR GLASS T-LIGHT HOLDER HANGING'}),1
0.02456254754917944,frozenset({'CREAM HEART CARD HOLDER'}),1
0.023964786436256928,frozenset({'ENAMEL FLOWER JUG CREAM'}),1
0.03249646777524182,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),1
0.08694707097054669,frozenset({'JUMBO BAG RED RETROSPOT'}),1
0.02820345614607108,frozenset({'CHILLI LIGHTS'}),1
0.028149114226714487,frozenset({'HOMEMADE JAM SCENTED CANDLES'}),1
0.022606238452342137,frozenset({'RED DINER WALL CLOCK'}),1
0.021247690468427345,frozenset({'IVORY DINER WALL CLOCK'}),1
0.03977828496902511,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS '}),1
0.0378763177915444,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),1
0.028964243017063362,frozenset({'RETROSPOT HEART HOT WATER BOTTLE'}),1
0.02238887077491577,frozenset({'HANGING HEART ZINC T-LIGHT HOLDER'}),1
0.021899793500706446,frozenset({'SMALL POPCORN HOLDER'}),1
0.02439952179110966,frozenset({'WOODEN BOX OF DOMINOES'}),1
0.021845451581349852,frozenset({'3 STRIPEY MICE FELTCRAFT'}),1
0.03472448646886208,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '}),1
0.03206173242038909,frozenset({'HAND OVER THE CHOCOLATE   SIGN '}),1
0.031083577871970438,frozenset({'HAND WARMER OWL DESIGN'}),1
0.025595044016954678,frozenset({'HAND WARMER SCOTTY DOG DESIGN'}),1
0.02141071622649712,frozenset({'TRAVEL SEWING KIT'}),1
0.025758069775024452,frozenset({'HAND WARMER BIRD DESIGN'}),1
0.025432018258884904,frozenset({'ALARM CLOCK BAKELIKE IVORY'}),1
0.03803934354961417,frozenset({'CHOCOLATE HOT WATER BOTTLE'}),1
0.035648299097924135,frozenset({'SCOTTIE DOG HOT WATER BOTTLE'}),1
0.02755135311379198,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),1
0.027442669275078796,frozenset({'HOT WATER BOTTLE I AM SO POORLY'}),1
0.020541245516791654,frozenset({'WHITE SKULL HOT WATER BOTTLE '}),1
0.05368981632431258,frozenset({'LUNCH BAG SPACEBOY DESIGN '}),1
0.05059232692098685,frozenset({'LUNCH BAG PINK POLKADOT'}),1
0.044560373872405176,frozenset({'LUNCH BAG WOODLAND'}),1
0.030974894033257254,frozenset({'GUMBALL COAT RACK'}),1
0.02467123138789262,frozenset({'PHOTO FRAME CORNICE'}),1
0.020812955113574613,frozenset({'BATHROOM METAL SIGN'}),1
0.05716769916313444,frozenset({'LUNCH BAG  BLACK SKULL.'}),1
0.05249429409846756,frozenset({'LUNCH BAG CARS BLUE'}),1
0.02831213998478426,frozenset({'SET OF 3 HEART COOKIE CUTTERS'}),1
0.027225301597652428,frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),1
0.027116617758939247,frozenset({'PACK OF 72 SKULL CAKE CASES'}),1
0.027062275839582654,frozenset({'SET OF 3 BUTTERFLY COOKIE CUTTERS'}),1
0.02211716117813281,frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),1
0.04146288446907945,frozenset({'SET/5 RED RETROSPOT LID GLASS BOWLS'}),1
0.04428866427562222,frozenset({'VICTORIAN GLASS HANGING T-LIGHT'}),1
0.0313009455493968,frozenset({'DOORMAT RED RETROSPOT'}),1
0.03048581675904793,frozenset({'RED  HARMONICA IN BOX '}),1
0.028094772307357897,frozenset({'BLUE HARMONICA IN BOX '}),1
0.026084121291164004,frozenset({'DOORMAT HEARTS'}),1
0.023856102597543744,frozenset({'PLASTERS IN TIN SKULLS'}),1
0.022606238452342137,frozenset({'SET OF 20 KIDS COOKIE CUTTERS'}),1
0.035539615259210955,frozenset({'JUMBO BAG STRAWBERRY'}),1
0.022660580371698727,frozenset({'FELTCRAFT CUSHION OWL'}),1
0.02233452885555918,frozenset({'JUMBO BAG OWLS'}),1
0.046679708727312245,frozenset({'REX CASH+CARRY JUMBO SHOPPER'}),1
0.03945223345288556,frozenset({'6 RIBBONS RUSTIC CHARM'}),1
0.03347462232366047,frozenset({'DOLLY GIRL LUNCH BOX'}),1
0.024888599065318987,frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS '}),1
0.022877948049125095,frozenset({'CHRISTMAS CRAFT LITTLE FRIENDS'}),1
0.03923486577545919,frozenset({'VINTAGE SNAP CARDS'}),1
0.031898706662319316,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),1
0.03146397130746658,frozenset({'PLASTERS IN TIN SPACEBOY'}),1
0.026573198565373327,frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'}),1
0.026084121291164004,frozenset({'PLASTERS IN TIN VINTAGE PAISLEY '}),1
0.02532333442017172,frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),1
0.02505162482338876,frozenset({'FELTCRAFT 6 FLOWER FRIENDS'}),1
0.02434517987175307,frozenset({'CHILDRENS APRON SPACEBOY DESIGN'}),1
0.02369307683947397,frozenset({'FELTCRAFT BUTTERFLY HEARTS'}),1
0.02075861319421802,frozenset({'PACK OF 12 LONDON TISSUES '}),1
0.020541245516791654,frozenset({'FELTCRAFT PRINCESS LOLA DOLL'}),1
0.027768720791218345,frozenset({'GREY HEART HOT WATER BOTTLE'}),1
0.020595587436148245,frozenset({'FAWN BLUE HOT WATER BOTTLE'}),1
0.025866753613737636,frozenset({'ZINC METAL HEART DECORATION'}),1
0.025160308662101945,frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),1
0.09254428866427562,frozenset({'REGENCY CAKESTAND 3 TIER'}),1
0.021247690468427345,frozenset({'VINTAGE UNION JACK BUNTING'}),1
0.025595044016954678,frozenset({'JUMBO STORAGE BAG SKULLS'}),1
0.029072926855776546,frozenset({'PINK CREAM FELT CRAFT TRINKET BOX '}),1
0.028964243017063362,frozenset({'PACK OF 20 NAPKINS PANTRY DESIGN'}),1
0.04254972285621128,frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),1
0.03755026627540485,frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),1
0.03369199000108684,frozenset({'IVORY KITCHEN SCALES'}),1
0.02434517987175307,frozenset({'RED KITCHEN SCALES'}),1
0.026736224323443105,frozenset({'JUMBO BAG WOODLAND ANIMALS'}),1
0.020595587436148245,frozenset({'WHITE WOOD GARDEN PLANT LADDER'}),1
0.044995109227257905,frozenset({'RECIPE BOX PANTRY YELLOW DESIGN'}),1
0.03010542332355179,frozenset({'GINGERBREAD MAN COOKIE CUTTER'}),1
0.02831213998478426,frozenset({'PLASTERS IN TIN CIRCUS PARADE '}),1
0.02439952179110966,frozenset({'PLASTERS IN TIN STRONGMAN'}),1
0.023964786436256928,frozenset({'RECIPE BOX RETROSPOT '}),1
0.021465058145853713,frozenset({'WOODEN SCHOOL COLOURING SET'}),1
0.020867297032931203,frozenset({'NO SINGING METAL SIGN'}),1
0.022877948049125095,frozenset({'RED RETROSPOT CAKE STAND'}),1
0.02200847733941963,frozenset({'DOORMAT SPOTTY HOME SWEET HOME'}),1
0.028040430388001303,frozenset({'DOORMAT UNION FLAG'}),1
0.03179002282360613,frozenset({'CHARLOTTE BAG SUKI DESIGN'}),1
0.03771329203347462,frozenset({'PLEASE ONE PERSON METAL SIGN'}),1
0.02070427127486143,frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),1
0.023530051081404196,frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),1
0.024834257145962397,frozenset({'PINK BLUE FELT CRAFT TRINKET BOX'}),1
0.02304097380719487,frozenset({'BAKING SET SPACEBOY DESIGN'}),1
0.020160852081295512,frozenset({'PARTY METAL SIGN '}),1
0.02141071622649712,frozenset({'SPACEBOY BIRTHDAY CARD'}),1
0.025649385936311272,frozenset({'WORLD WAR 2 GLIDERS ASSTD DESIGNS'}),1
0.020323877839365286,frozenset({'AREA PATROLLED METAL SIGN'}),1
0.03081186827518748,frozenset({'PAPER BUNTING RETROSPOT'}),1
0.02592109553309423,frozenset({'JUMBO BAG SPACEBOY DESIGN'}),1
0.021573741984566894,frozenset({'PINK FAIRY CAKE CHILDRENS APRON'}),1
0.040158678404521246,frozenset({'RED RETROSPOT CHARLOTTE BAG'}),1
0.026464514726660147,frozenset({'CHARLOTTE BAG PINK POLKADOT'}),1
0.020323877839365286,frozenset({'PAPER CHAIN KIT EMPIRE'}),1
0.020867297032931203,frozenset({'RED RETROSPOT SHOPPER BAG'}),1
0.028855559178350178,frozenset({'WOODLAND CHARLOTTE BAG'}),1
0.020921638952287793,frozenset({'HOT BATHS METAL SIGN'}),1
0.020323877839365286,frozenset({'CHOCOLATE THIS WAY METAL SIGN'}),1
0.020160852081295512,frozenset({'POTTERING IN THE SHED METAL SIGN'}),1
0.024182154113683296,frozenset({'CREAM SWEETHEART MINI CHEST'}),1
0.027660036952505164,frozenset({'TRADITIONAL KNITTING NANCY'}),1
0.07493750679273992,frozenset({'PARTY BUNTING'}),1
0.020921638952287793,frozenset({'RED RETROSPOT PICNIC BAG'}),1
0.031083577871970438,frozenset({'HANGING HEART JAR T-LIGHT HOLDER'}),1
0.030214107162264973,frozenset({'PINK REGENCY TEACUP AND SAUCER'}),1
0.062275839582654056,frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),1
0.035485273339854365,frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'}),1
0.04640799913052929,frozenset({'BAKING SET 9 PIECE RETROSPOT '}),1
0.04706010216280839,frozenset({'SET OF 4 PANTRY JELLY MOULDS'}),1
0.02374741875883056,frozenset({'TRAVEL CARD WALLET KEEP CALM'}),1
0.04885338550157592,frozenset({'LUNCH BAG SUKI DESIGN '}),1
0.024508205629822845,frozenset({'JUMBO BAG SCANDINAVIAN BLUE PAISLEY'}),1
0.029018584936419956,frozenset({'ANTIQUE SILVER T-LIGHT GLASS'}),1
0.04706010216280839,frozenset({'LUNCH BAG APPLE DESIGN'}),1
0.04086512335615694,frozenset({'JUMBO BAG ALPHABET'}),1
0.03901749809803282,frozenset({'JUMBO BAG APPLES'}),1
0.035159221823714816,frozenset({'LUNCH BAG ALPHABET DESIGN'}),1
0.023095315726551463,frozenset({'CHARLOTTE BAG APPLES DESIGN'}),1
0.03244212585588523,frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'}),1
0.035213563743071406,frozenset({'DOORMAT KEEP CALM AND COME IN'}),1
0.05450494511466145,frozenset({'SPOTTY BUNTING'}),1
0.025214650581458536,frozenset({'LUNCH BAG DOILEY PATTERN '}),1
0.025540702097598088,frozenset({'JUMBO BAG PEARS'}),1
0.02467123138789262,frozenset({'JUMBO BAG DOILEY PATTERNS'}),1
0.041951961743288774,frozenset({'JUMBO BAG VINTAGE LEAF'}),1
0.04352787740462993,frozenset({'RABBIT NIGHT LIGHT'}),1
0.04108249103358331,frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),1
0.03450711879143571,frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),1
0.02113900662971416,frozenset({'SET OF 3 WOODEN HEART DECORATIONS'}),1
0.027388327355722206,frozenset({'SET OF 60 PANTRY DESIGN CAKE CASES '}),1
0.020921638952287793,frozenset({'SET OF TEA COFFEE SUGAR TINS PANTRY'}),1
0.03901749809803282,frozenset({'SET OF 3 REGENCY CAKE TINS'}),1
0.03162699706553636,frozenset({'SMALL WHITE HEART OF WICKER'}),1
0.03434409303336594,frozenset({'POPCORN HOLDER'}),1
0.027768720791218345,frozenset({'LARGE WHITE HEART OF WICKER'}),1
0.020921638952287793,frozenset({'JUMBO BAG VINTAGE CHRISTMAS '}),1
0.03184436474296272,"frozenset({""JUMBO BAG 50'S CHRISTMAS ""})",1
0.020323877839365286,frozenset({'PANTRY MAGNETIC  SHOPPING LIST'}),1
0.02526899250081513,frozenset({'SET OF 12 FAIRY CAKE BAKING CASES'}),1
0.03374633192044343,frozenset({'JUMBO BAG VINTAGE DOILY '}),1
0.02923595261384632,frozenset({'LUNCH BAG VINTAGE DOILY '}),1
0.02439952179110966,frozenset({'LOVE HOT WATER BOTTLE'}),1
0.03907184001738941,frozenset({'HOT WATER BOTTLE KEEP CALM'}),1
0.020160852081295512,frozenset({'HAND WARMER RED LOVE HEART'}),1
0.028801217258993587,"frozenset({'ALARM CLOCK BAKELIKE RED ', 'ALARM CLOCK BAKELIKE GREEN'})",2
0.021519400065210303,"frozenset({'ALARM CLOCK BAKELIKE PINK', 'ALARM CLOCK BAKELIKE RED '})",2
0.025432018258884904,"frozenset({'WOODEN FRAME ANTIQUE WHITE ', 'WOODEN PICTURE FRAME WHITE FINISH'})",2
0.024725573307249213,"frozenset({'WHITE HANGING HEART T-LIGHT HOLDER', 'RED HANGING HEART T-LIGHT HOLDER'})",2
0.023095315726551463,"frozenset({'LUNCH BAG RED RETROSPOT', 'JUMBO BAG RED RETROSPOT'})",2
0.029670687968699056,"frozenset({'JUMBO BAG PINK POLKADOT', 'JUMBO BAG RED RETROSPOT'})",2
0.023584393000760786,"frozenset({'JUMBO STORAGE BAG SUKI', 'JUMBO BAG RED RETROSPOT'})",2
0.021519400065210303,"frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO BAG RED RETROSPOT'})",2
0.02211716117813281,"frozenset({'HEART OF WICKER SMALL', 'HEART OF WICKER LARGE'})",2
0.024508205629822845,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS "", 'PAPER CHAIN KIT VINTAGE CHRISTMAS'})",2
0.025377676339528314,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG SPACEBOY DESIGN '})",2
0.02271492229105532,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SPACEBOY DESIGN '})",2
0.028420823823497445,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG PINK POLKADOT'})",2
0.025214650581458536,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG PINK POLKADOT'})",2
0.023203999565264644,"frozenset({'LUNCH BAG PINK POLKADOT', 'LUNCH BAG CARS BLUE'})",2
0.023530051081404196,"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG RED RETROSPOT'})",2
0.02200847733941963,"frozenset({'LUNCH BAG WOODLAND', 'LUNCH BAG SPACEBOY DESIGN '})",2
0.028094772307357897,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG RED RETROSPOT'})",2
0.022877948049125095,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG CARS BLUE'})",2
0.024888599065318987,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG CARS BLUE'})",2
0.021247690468427345,"frozenset({'LUNCH BAG SPACEBOY DESIGN ', 'LUNCH BAG CARS BLUE'})",2
0.022497554613628953,"frozenset({'JUMBO BAG STRAWBERRY', 'JUMBO BAG RED RETROSPOT'})",2
0.02304097380719487,"frozenset({'DOLLY GIRL LUNCH BOX', 'SPACEBOY LUNCH BOX '})",2
0.022823606129768505,"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",2
0.029398978371916094,"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",2
0.020323877839365286,"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})",2
0.02499728290403217,"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'PINK REGENCY TEACUP AND SAUCER'})",2
0.02369307683947397,"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",2
0.021193348549070755,"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",3
0.024453863710466255,"frozenset({'LUNCH BAG SUKI DESIGN ', 'LUNCH BAG RED RETROSPOT'})",2
0.021193348549070755,"frozenset({'LUNCH BAG SUKI DESIGN ', 'LUNCH BAG CARS BLUE'})",2
0.020541245516791654,"frozenset({'LUNCH BAG SUKI DESIGN ', 'LUNCH BAG SPACEBOY DESIGN '})",2
0.022225845016845994,"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG SUKI DESIGN '})",2
0.02113900662971416,"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG APPLE DESIGN'})",2
0.02113900662971416,"frozenset({'PARTY BUNTING', 'SPOTTY BUNTING'})",2
0.025160308662101945,"frozenset({'GARDENERS KNEELING PAD KEEP CALM ', 'GARDENERS KNEELING PAD CUP OF TEA '})",2
